name,fullName,address
NMIT,Nitte Meenakshi Institute of Technology,"Yelahanka, Bangalore"
BMSIT,BMS Institute of Technology,"Avalahalli, Bangalore"
RNSIT,RNS Institute of Technology,"Rajarajeshwari Nagar, Bangalore"
GITAM,GITAM University,"Hyderabad, Telangana"
